,Course #,Section,Course Title,Instructor,Day(s),Start time,End Time,Max,Enrolled
CSE,5324,2,"Sftw Eng Anly, Dsgn, Testing",Robb,TR,11:00 AM,12:20 PM,40,37
CSE,5324,3,"Sftw Eng Anly, Dsgn, Testing",Robb,TR,9:30 AM,10:30 AM,40,15
cse,2312,3,Computer Org & Assemb Lang,S. Jiang,MW,4:00 PM,5:20 PM,45,13
cse,6329,1,Spec Tops Adv Sftwr Eng,Sahoo,T,5:30 PM,8:20 PM,35,16
CSE,3330,1,Database Sys & File Structures,Saleh,R,11:00 AM,1:50 PM,45,31
CSE,1320,3,intermediate Programming,Salemizadeh,MW,4:00 PM,5:20 PM,45,30
CSE,2320,1,Algorithms & Data Structures,Stefan,TR,9:30 AM,10:50 AM,45,40
CSE,2320,2,Algorithms & Data Structures,Stefan,TR,11:00 PM,12:20 PM,45,22
CSE,1310,5,Intro Computers & Programming,Tiernan,TR,3:30 PM,4:50 PM,160,86
CSE,1311,1,Intro to Programming Engrs,tripathi,MW ,4:00 PM,5:20 PM,80,80
CSE,1320,5,intermediate Programming,tripathi,TR,9:30 AM,10:50 AM,45,42
CSE,1320,6,intermediate Programming,tripathi,TR,11:00 AM,12:20 PM,45,22
CSE,5330,2,Database Systems,tripathi,MW,5:30 PM,6:50 PM,45,45
CSE,4342,1,Embedded II,Walker,TR,12:30 PM,1:50 PM,20,17
CSE,2320,3,Algorithms & Data Structures,Weems,TR,3:30 PM,4:50 PM,45,45
CSE,5311,5,Algorithms,Weems,TR,7:00 PM,8:20 PM,40,3
CSE ,4391,5,Individual Projectis,Weems,TR,7:00 PM,8:20 PM,1,1
CSE,4344,1,Computer Network Organization,Y. Liu,TR,11:00 AM,12:20 PM,48,48
CSE,5344,20,Computer Networks ,Yonghe,BUPT,,,9,0
CSE,2100,1,Practical Computer Systems Lab,ZARUBA,W,5:30 PM,7:30 PM,25,25
CSE,2100,2,Practical Computer Systems Lab,ZARUBA,W,5:30 PM,7:30 PM,25,25
CSE,2100,3,Practical Computer Systems Lab,ZARUBA,R,5:30 PM,7:30 PM,25,25
CSE,2100,4,Practical Computer Systems Lab,ZARUBA,R,5:30 PM,8:30 PM,25,23
